name,number,street,city,state,zip,country,nhood,phone,employees,sales_vol,full_add
Flour Bakery + Cafe,190,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 225-2525,25,1398000,190 Massachusetts Ave
Foodland,2234,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 349-0009,2,395000,2234 Massachusetts Ave
Forest Cafe,1682,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 661-7810,6,336000,1682 Massachusetts Ave
Four Burgers,704,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 441-5444,20,1119000,704 Massachusetts Ave
Frank's Steak House,2310,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 661-0666,35,1957000,2310 Massachusetts Ave
Freshens,100,Cambridgeside Pl # 138,Cambridge,MA,02141,USA,East Cambridge,(617) 577-7300,6,449000,100 Cambridgeside Pl # 138
Friendly Toast,1,Kendall Sq # B3101,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 621-1200,100,5591000,1 Kendall Sq # B3101
Fuji At Kendall,300,3rd St,Cambridge,MA,02142,USA,East Cambridge,(617) 252-0088,6,336000,300 3rd St
Full Moon Restaurant,344,Huron Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 354-6699,31,1734000,344 Huron Ave
Genji Express,115,Prospect St,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 492-0070,6,336000,115 Prospect St
Ginger Exchange,1287,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 250-8618,6,336000,1287 Cambridge St
Go Go Curry,581,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 876-5555,6,336000,581 Massachusetts Ave
Grafton Street Pub & Grill,1230,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 497-0400,120,6710000,1230 Massachusetts Ave
Gran Gusto,90,Sherman St # A,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 441-0400,5,280000,90 Sherman St # A
Greek Corner Restaurant,2366,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 661-5655,4,224000,2366 Massachusetts Ave
Green Street Grill,280,Green St,Cambridge,MA,02139,USA,Cambridgeport,(617) 876-1655,30,1678000,280 Green St
Greenhouse Cafe,1,Oxford St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 496-4790,27,1510000,1 Oxford St
Grendels Restaurant & Bar,89,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 491-1160,45,2516000,89 Winthrop St
Grill 23 & Bar,44,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 542-2255,6,336000,44 Brattle St
Guangzhou Restaurant,1220,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 547-6368,2,112000,1220 Cambridge St
Gyu-KAKU,16,Eliot St # 2,Cambridge,MA,02138,USA,Harvard Square,(310) 532-1137,33,1845000,16 Eliot St # 2
Half-Shell,1760,Massachusetts Ave,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 876-9596,3,168000,1760 Massachusetts Ave
Hana Sushi,2372,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 868-2121,4,224000,2372 Massachusetts Ave
Handi Indian Restaurant,1001,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 441-4034,3,168000,1001 Massachusetts Ave
Harvard Chinese,36,Oxford St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 493-7135,80,0,36 Oxford St
Harvard House Of Pizza,1706,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 864-8090,3,168000,1706 Massachusetts Ave
Harvard Nw Labs Office,52,Oxford St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 441-7819,6,336000,52 Oxford St
Harvard University Diving Svc,12,Quincy St,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 495-3238,2,192000,12 Quincy St
Harvest,44,Brattle St # 3,Cambridge,MA,02138,USA,Harvard Square,(617) 868-2255,75,4194000,44 Brattle St # 3
Harvot Lotus Kui Inc,1712,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 547-6565,30,1678000,1712 Massachusetts Ave
Hearthstone Partners,290,Main St,Cambridge,MA,02142,USA,Kendall Square,(617) 547-1745,6,336000,290 Main St
Helmand Restaurant,143,1st St,Cambridge,MA,02142,USA,East Cambridge,(617) 492-4646,20,1119000,143 1st St
Henrietta's Table,1,Bennett St,Cambridge,MA,02138,USA,Harvard Square,(617) 661-5005,60,3355000,1 Bennett St
Herbert & Kong,777,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(857) 242-4106,6,336000,777 Cambridge St
Herbert & Kong,777,Concord Ave,Cambridge,MA,02138,USA,Cambridge Highlands,(857) 242-4910,6,336000,777 Concord Ave
Highway 61 Enterprises Inc,67,Porter Rd,Cambridge,MA,02140,USA,Porter Square,(617) 547-1722,14,783000,67 Porter Rd
Hi-Rise Bread Co,208,Concord Ave,Cambridge,MA,02138,USA,Huron Village,(617) 876-8766,40,2237000,208 Concord Ave
Hi-Rise Cafe,1663,Massachusetts Ave,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 492-3003,6,336000,1663 Massachusetts Ave
Holiday Inn Exp Hotel-Suites,250,Monsignor Obrien Hwy,Cambridge,MA,02141,USA,East Cambridge,(617) 577-7600,30,3422000,250 Monsignor Obrien Hwy
Hong Kong Restaurant,1238,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 864-5311,6,336000,1238 Massachusetts Ave
Hops'n Scotch,1248,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(857) 242-4980,6,336000,1248 Cambridge St
Hotel Marlowe,25,Edwin H Land Blvd,Cambridge,MA,02141,USA,East Cambridge,(617) 868-8000,12,1369000,25 Edwin H Land Blvd
House Of Chang,282,Concord Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 547-9888,6,336000,282 Concord Ave
Hungry Fish Media LLC,700,Technology Sq # 202,Cambridge,MA,02139,USA,Kendall Square,(617) 229-5670,6,336000,700 Technology Sq # 202
Hungry Mother,1,Kendall Sq # B3001,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 499-0090,30,1678000,1 Kendall Sq # B3001
Hyatt Regency-Cambridge,575,Memorial Dr,Cambridge,MA,02139,USA,Mit,(617) 492-1234,275,31367000,575 Memorial Dr
IHOP Restaurant,16,Eliot St # 18,Cambridge,MA,02138,USA,Harvard Square,(617) 354-0999,10,752000,16 Eliot St # 18
India Castle Restaurant & Bar,928,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 864-8100,6,336000,928 Massachusetts Ave
India Pavilion,17,Central Sq,Cambridge,MA,02139,USA,Cambridgeport,(617) 547-7463,3,168000,17 Central Sq
Ittyo Restaurant,1815,Massachusetts Ave # 3,Cambridge,MA,02140,USA,Porter Square,(617) 354-5944,4,224000,1815 Massachusetts Ave # 3
Izzy's Restaurant & Sub Shop,169,Harvard St,Cambridge,MA,02139,USA,Area IV,(617) 661-3910,5,280000,169 Harvard St
J P Licks Ice Cream,1312,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 492-1001,15,839000,1312 Massachusetts Ave
Jasper Whites Summer S,149,Alewife Brook Pkwy,Cambridge,MA,02140,USA,North Cambridge,(617) 520-9500,6,336000,149 Alewife Brook Pkwy
Joe Sent Maine,2388,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 492-1116,16,895000,2388 Massachusetts Ave
John Harvard's Brewery & Ale,33,Dunster St,Cambridge,MA,02138,USA,Harvard Square,(617) 868-3585,75,4194000,33 Dunster St
Jose's Mexican Restaurant,131,Sherman St,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 354-0335,10,560000,131 Sherman St
Jumptap,245,1st St,Cambridge,MA,02142,USA,Kendall Square,(617) 301-4550,6,336000,245 1st St
KAYA Restaurant,1924,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 497-5656,10,560000,1924 Massachusetts Ave
Kendall Hotel,350,Main St,Cambridge,MA,02142,USA,Kendall Square,(617) 577-1300,29,3308000,350 Main St
Kendall House Of Pizza,201,3rd St,Cambridge,MA,02141,USA,East Cambridge,(617) 547-1790,3,168000,201 3rd St
Kendall Kitchen,201,Broadway # 25,Cambridge,MA,02139,USA,Area IV,(617) 225-7704,6,336000,201 Broadway # 25
Kendall Market & Deli,290,Main St # 5,Cambridge,MA,02142,USA,Kendall Square,(617) 661-7300,1,198000,290 Main St # 5
KFC,2071,Massachusetts Ave,Cambridge,MA,02140,USA,,(617) 868-1498,20,1119000,2071 Massachusetts Ave
KIKA Tapas,350,3rd St # 100,Cambridge,MA,02142,USA,Kendall Square,(617) 245-6030,10,560000,350 3rd St # 100
Kolbeh Of Kabob,1500,Cambridge St,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 876-9400,3,168000,1500 Cambridge St
Koreana,158,Prospect St,Cambridge,MA,02139,USA,Area IV,(617) 576-8661,20,1119000,158 Prospect St
Kotobuki Ya Inc,1815,Massachusetts Ave # M2,Cambridge,MA,02140,USA,Porter Square,(617) 492-4655,12,671000,1815 Massachusetts Ave # M2
L A Burdick Handmade Chclts,52,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 491-4340,20,27963000,52 Brattle St
L C Inc,4,Brattle St # 210,Cambridge,MA,02138,USA,Harvard Square,(617) 876-2890,2,112000,4 Brattle St # 210
LA Verde's Market Mit,84,Massachusetts Ave,Cambridge,MA,02139,USA,Mit,(617) 621-0733,35,6907000,84 Massachusetts Ave
Lady Fingers Catering-Event,1,Earhart St # 305,Cambridge,MA,02141,USA,East Cambridge,(617) 216-9745,1,56000,1 Earhart St # 305
Lanes & Games,195,Concord Tpke,Cambridge,MA,02140,USA,East Arlington,(617) 876-5533,51,2685000,195 Concord Tpke
Legal Sea Foods,20,University Rd,Cambridge,MA,02138,USA,Harvard Square,(617) 491-9400,50,2796000,20 University Rd
Legal Sea Foods,5,Cambridge Ctr,Cambridge,MA,02142,USA,Kendall Square,(617) 864-3400,120,6710000,5 Cambridge Ctr
Le's,36,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-4100,6,336000,36 Jfk St
Le's Restaurant,36,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-4100,10,560000,36 Jfk St
Le's Restaurant,35,Dunster St,Cambridge,MA,02138,USA,,(617) 864-4100,20,1119000,35 Dunster St
Life Alive Urban Oasis-Organic,765,Massachusetts Ave,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 354-5433,6,336000,765 Massachusetts Ave
Lingo,8,Museum Way,Cambridge,MA,02141,USA,East Cambridge,(617) 619-2409,6,336000,8 Museum Way
Lingo Restaurant,15,Monsignor Obrien Hwy,Cambridge,MA,02141,USA,,(617) 619-2400,6,336000,15 Monsignor Obrien Hwy
Lingo Restaurant,1,Education St,Cambridge,MA,02141,USA,East Cambridge,(617) 619-2400,15,839000,1 Education St
Liquiteria Mass Ave LLC,1440,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 588-9955,4,588000,1440 Massachusetts Ave
Little Donkey,505,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 945-1008,6,336000,505 Massachusetts Ave
Lizard Lounge,1667,Massachusetts Ave,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 547-0759,8,430000,1667 Massachusetts Ave
Lizzy's Homemade Ice Cream,29,Church St,Cambridge,MA,02138,USA,,(617) 354-2911,7,392000,29 Church St
Lone Star Taco Bar,635,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(857) 285-6179,6,336000,635 Cambridge St
Lord Hobo,92,Hampshire St,Cambridge,MA,02139,USA,Area IV,(617) 250-8454,6,336000,92 Hampshire St
Lou's Place,208,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 621-1774,1,68000,208 Cambridge St
Loyal Nine,660,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 945-2576,20,1119000,660 Cambridge St
Maharaja,57,Jfk St # 1,Cambridge,MA,02138,USA,Harvard Square,(617) 547-2757,6,336000,57 Jfk St # 1
Mall Discount Liquors & Wines,202,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 864-7171,5,1399000,202 Alewife Brook Pkwy
Mamagoo's Pizza & Sub Shop,6,Concord Ln,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 354-9139,5,280000,6 Concord Ln
Mariposa Bakery,424,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 876-6500,11,615000,424 Massachusetts Ave
Marriott-Boston Cambridge,50,Broadway,Cambridge,MA,02142,USA,,(617) 494-6600,250,28515000,50 Broadway
Mary Chung Restaurant,464,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 864-1991,10,560000,464 Massachusetts Ave
Mass Chicken,736,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 234-4450,5,280000,736 Massachusetts Ave
Massachusetts Avenue Rstrnt,906,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 864-5301,6,336000,906 Massachusetts Ave
Mc Donald's,463,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 497-3926,31,1734000,463 Massachusetts Ave
Mc Donald's,264,Monsignor Obrien Hwy,Cambridge,MA,02141,USA,East Cambridge,(617) 666-9666,35,1957000,264 Monsignor Obrien Hwy
Mc Donald's,186,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 876-6509,28,1566000,186 Alewife Brook Pkwy
Mc Donald's Corporate Office,200,Monsignor Obrien Hwy,Cambridge,MA,02141,USA,East Cambridge,(617) 354-9027,7,392000,200 Monsignor Obrien Hwy
Mccabe's On Mass,2046,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 945-7115,6,336000,2046 Massachusetts Ave
Mead Hall,90,Broadway,Cambridge,MA,02142,USA,,(617) 714-3879,50,2796000,90 Broadway
Mexicali Burrito Cabana,350,Kendall St,Cambridge,MA,02142,USA,Kendall Square,(617) 225-2777,6,336000,350 Kendall St
Mexicali Burrito Co,500,Technology Sq,Cambridge,MA,02139,USA,Kendall Square,(617) 225-2777,3,168000,500 Technology Sq
Middle East Restaurant,480,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 864-3278,30,1678000,480 Massachusetts Ave
Middle East Rstrnt & Nightclub,472,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 864-3278,6,336000,472 Massachusetts Ave
Middlesex Lounge,315,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 868-6739,6,336000,315 Massachusetts Ave
Midwest Grill-Cambridge,1124,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 354-7536,20,1119000,1124 Cambridge St
Milk & Two Sugars,125,Cambridgepark Dr,Cambridge,MA,02140,USA,North Cambridge,(617) 826-9424,6,0,125 Cambridgepark Dr
Miracle Of Science Bar & Grill,321,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 868-2866,20,1119000,321 Massachusetts Ave
MIT Faculty Club,50,Memorial Dr,Cambridge,MA,02142,USA,Kendall Square,(617) 253-4896,28,1566000,50 Memorial Dr
Mix-It,1678,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 547-0212,6,336000,1678 Massachusetts Ave
Moksa,450,Massachusetts Ave # 1,Cambridge,MA,02139,USA,Cambridgeport,(617) 661-4900,6,336000,450 Massachusetts Ave # 1
Mona Lisa Rstrnt & Pizzeria,1625,Cambridge St,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 491-1888,4,224000,1625 Cambridge St
Moody's Falafel Palace,25,Central Sq,Cambridge,MA,02139,USA,Cambridgeport,(617) 864-0827,1,56000,25 Central Sq
Mr Bartley's Burger Cottage,1246,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 354-6559,20,1119000,1246 Massachusetts Ave
Multicultural Arts Ctr,41,2nd St,Cambridge,MA,02141,USA,East Cambridge,(617) 577-1400,4,0,41 2nd St
Muqueca,1093,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 354-3296,10,336000,1093 Cambridge St
Muqueca Restaurant,1008,Cambridge St,Cambridge,MA,02141,USA,,(617) 354-3296,3,168000,1008 Cambridge St
Museum Market,12,Museum Way,Cambridge,MA,02141,USA,East Cambridge,(617) 227-6668,3,168000,12 Museum Way
Naco Taco,297,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 945-1548,6,336000,297 Massachusetts Ave
Namaste,277,Western Ave,Cambridge,MA,02139,USA,,(617) 945-9597,6,336000,277 Western Ave
New Brand Sebatains LLC,7,Cambridge Ctr,Cambridge,MA,02142,USA,Kendall Square,(617) 758-0112,25,1398000,7 Cambridge Ctr
Newtowne Grille Food & Spirits,1945,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 661-0706,5,280000,1945 Massachusetts Ave
Nimatwood's Tavern,877,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 864-2792,15,839000,877 Cambridge St
Noodle Stix Chinese Restaurant,11,Belmont St,Cambridge,MA,02138,USA,East Watertown,(617) 868-1800,2,112000,11 Belmont St
Nubar,16,Garden St,Cambridge,MA,02138,USA,West Cambridge,(617) 234-1365,10,560000,16 Garden St
Oak Ford Inc,280,Green St,Cambridge,MA,02139,USA,Cambridgeport,(617) 876-1655,6,336000,280 Green St
Often Bbq,210,Bent St,Cambridge,MA,02141,USA,East Cambridge,(617) 577-7427,7,392000,210 Bent St
Oggi Gourmet,30,Dunster St,Cambridge,MA,02138,USA,Harvard Square,(617) 492-6444,12,671000,30 Dunster St
Ole Mexican Grille,11,Springfield St,Cambridge,MA,02139,USA,Inman Square,(617) 492-4495,30,1678000,11 Springfield St
Oleana,134,Hampshire St,Cambridge,MA,02139,USA,Inman Square,(617) 661-0505,19,1063000,134 Hampshire St
Olecito,12,Springfield St,Cambridge,MA,02139,USA,Inman Square,(617) 876-1374,10,560000,12 Springfield St
Olive Cafe,43,Gore St,Cambridge,MA,02141,USA,East Cambridge,(617) 876-4189,2,112000,43 Gore St
Olivraquel Inc,50,Hampshire St,Cambridge,MA,02139,USA,Area IV,(617) 621-6991,6,336000,50 Hampshire St
One World Cuisine,552,Massachusetts Ave # 204,Cambridge,MA,02139,USA,Cambridgeport,(617) 262-4770,51,2852000,552 Massachusetts Ave # 204
Orinoco,56,Jfk St # 5,Cambridge,MA,02138,USA,Harvard Square,(617) 354-6900,6,336000,56 Jfk St # 5
Otto,1432,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 873-0888,3,168000,1432 Massachusetts Ave
Oxford Spa,102,Oxford St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 661-6988,3,168000,102 Oxford St
P F Chang's China Bistro,100,Cambridgeside Pl # C101,Cambridge,MA,02141,USA,East Cambridge,(617) 250-9965,60,3355000,100 Cambridgeside Pl # C101
Pacific St Cafe,70,Pacific St,Cambridge,MA,02139,USA,Cambridgeport,(617) 494-1414,6,336000,70 Pacific St
Paddy's Lunch,260,Walden St,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 547-8739,4,224000,260 Walden St
Panera Bread,1288,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 868-0651,35,1957000,1288 Massachusetts Ave
Panera Bread,1280,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,Not Available,35,1957000,1280 Massachusetts Ave
Panera Bread,174,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 491-0890,35,1957000,174 Alewife Brook Pkwy
Panera Bread,5,White St,Cambridge,MA,02140,USA,Porter Square,(617) 547-0816,35,1957000,5 White St
Panini Bakery,180,Franklin St,Cambridge,MA,02139,USA,Cambridgeport,(781) 899-3817,6,336000,180 Franklin St
Papa Gino's,179,3rd St,Cambridge,MA,02141,USA,East Cambridge,Not Available,20,1119000,179 3rd St
Paradise,180,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 868-3000,8,430000,180 Massachusetts Ave
Park Restaurant & Bar,59,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 491-9851,6,336000,59 Jfk St
Passage To India,1900,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 497-6113,6,336000,1900 Massachusetts Ave
Patty Chen's Dumpling Room,907,Main St,Cambridge,MA,02139,USA,Area IV,(617) 491-6616,6,336000,907 Main St
Pazzo,402,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,Not Available,6,0,402 Massachusetts Ave
Peet's Coffee & Tea,100,Mount Auburn St,Cambridge,MA,02138,USA,Harvard Square,(617) 492-1844,18,1007000,100 Mount Auburn St
People Republic,878,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 491-6969,10,560000,878 Massachusetts Ave
Pepper Sky,20,Pearl St,Cambridge,MA,02139,USA,Cambridgeport,(617) 492-2541,6,336000,20 Pearl St
Petsi Pies,594,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 945-5278,5,274000,594 Cambridge St
Petsi Pies,31,Putnam Ave,Cambridge,MA,02139,USA,Riverside,(617) 499-0801,5,280000,31 Putnam Ave
Pho House,1790,Massachusetts Ave,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 547-8888,6,336000,1790 Massachusetts Ave
Phoenix Landing,512,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 576-6260,10,560000,512 Massachusetts Ave
Picante Mexican Grill II Inc,735,Massachusetts Ave,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 576-6744,20,1119000,735 Massachusetts Ave
Pinkberry,1380,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 547-0537,14,1048000,1380 Massachusetts Ave
Pinocchio's Pizza & Subs,74,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 876-4897,7,392000,74 Winthrop St
Pizza Days Inc,10,Ware St,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 868-7992,3,168000,10 Ware St
Pizza Rev,100,Cambridgeside Pl # F23,Cambridge,MA,02141,USA,East Cambridge,(857) 829-3135,3,0,100 Cambridgeside Pl # F23
Plaza Catering,157,6th St # 1,Cambridge,MA,02142,USA,,(617) 227-1333,6,336000,157 6th St # 1
Plaza Deli Inc,320,Bent St,Cambridge,MA,02141,USA,East Cambridge,(617) 225-7829,3,168000,320 Bent St
Plaza Deli Inc,157,6th St # 1,Cambridge,MA,02142,USA,,(617) 227-1333,10,560000,157 6th St # 1
Plough & Stars,912,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 576-0032,8,448000,912 Massachusetts Ave
Port Cafe,286,Windsor St # 1,Cambridge,MA,02139,USA,Area IV,(617) 780-2250,6,336000,286 Windsor St # 1
Portugalia,723,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 491-5373,7,392000,723 Cambridge St
Potbelly Sandwich Shop,1,Porter Cir # 4,Cambridge,MA,02140,USA,Porter Square,(617) 936-2285,20,1119000,1 Porter Cir # 4
Primo Pizza & Roast Beef,783,Main St,Cambridge,MA,02139,USA,Area IV,(617) 945-0878,3,168000,783 Main St
Punjabi Dhaba,225,Hampshire St,Cambridge,MA,02139,USA,Inman Square,(617) 547-8272,10,560000,225 Hampshire St
Pupu Hotpot Chinese Restaurant,907,Main St,Cambridge,MA,02139,USA,Area IV,(617) 491-6616,5,280000,907 Main St
Qafe,58,Plympton St,Cambridge,MA,02138,USA,Harvard Square,(323) 919-9360,4,224000,58 Plympton St
Qdoba Mexican Eats,1280,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 871-1136,11,615000,1280 Massachusetts Ave
Qdoba Mexican Eats,35,White St,Cambridge,MA,02140,USA,Porter Square,Not Available,15,839000,35 White St
Qingdao Garden Restaurant,2382,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 492-7540,3,168000,2382 Massachusetts Ave
Quick Bite,5,Cambridgepark Dr # 6,Cambridge,MA,02140,USA,North Cambridge,(617) 492-0906,1,56000,5 Cambridgepark Dr # 6
Rangzen Tibet Restaurant,24,Pearl St,Cambridge,MA,02139,USA,Cambridgeport,(617) 354-8881,6,336000,24 Pearl St
Rebecca's Cafe,290,Main St # 4,Cambridge,MA,02142,USA,Kendall Square,(617) 494-6688,30,1678000,290 Main St # 4
Red House Restaurant,98,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 576-0605,39,2181000,98 Winthrop St
Regattabar,1,Bennett St,Cambridge,MA,02138,USA,Harvard Square,(617) 661-5000,1,73000,1 Bennett St
Restaurant Associates,136,Irving St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 619-2400,6,336000,136 Irving St
Riley To The Rescue-Catering,475,Huron Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 354-1650,2,282000,475 Huron Ave
Riverside Pizza & Seafoods,305,River St,Cambridge,MA,02139,USA,Cambridgeport,(617) 354-8800,4,224000,305 River St
Rivertech Cafe,840,Memorial Dr # 1,Cambridge,MA,02139,USA,Riverside,(617) 876-8922,1,56000,840 Memorial Dr # 1
Rod Dee Thai Cuisine,1906,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 374-9252,6,336000,1906 Massachusetts Ave
Route Sixty Six Cafe,251,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 492-7232,2,112000,251 Cambridge St
Royal East Restaurant,792,Main St,Cambridge,MA,02139,USA,Area IV,(617) 661-1660,17,951000,792 Main St
Royal Punjab,251,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 492-7232,6,336000,251 Cambridge St
Royal Sonesta Hotel,40,Edwin H Land Blvd,Cambridge,MA,02142,USA,East Cambridge,(617) 806-4200,253,28858000,40 Edwin H Land Blvd
Russell House Tavern,14,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 500-3055,15,839000,14 Jfk St
S & S Restaurant,1334,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 354-0777,100,5591000,1334 Cambridge St
Sakura Japan,100,Cambridgeside Pl,Cambridge,MA,02141,USA,East Cambridge,(617) 252-0882,11,615000,100 Cambridgeside Pl
Saladworks,100,Cambridgeside Pl # 1,Cambridge,MA,02141,USA,East Cambridge,(617) 374-8888,5,280000,100 Cambridgeside Pl # 1
Salts Restaurant,798,Main St,Cambridge,MA,02139,USA,Area IV,(617) 876-8444,10,560000,798 Main St
Sanktouka,1,Bow St # 4,Cambridge,MA,02138,USA,Harvard Square,(617) 945-1392,6,336000,1 Bow St # 4
Sapporo Ramen,1815,Massachusetts Ave # M5,Cambridge,MA,02140,USA,Porter Square,(617) 876-4805,2,112000,1815 Massachusetts Ave # M5
Sarku Japan Sushi Bar,100,Cambridgeside Pl # K6,Cambridge,MA,02141,USA,East Cambridge,(617) 577-7658,6,336000,100 Cambridgeside Pl # K6
Sepal,100,Cambridgeside Pl # F25,Cambridge,MA,02141,USA,,(617) 621-8666,6,336000,100 Cambridgeside Pl # F25
Shabu & Mein,148,1st St,Cambridge,MA,02142,USA,East Cambridge,(617) 577-7888,25,1398000,148 1st St
Shabu At Kendall,1,Rogers St,Cambridge,MA,02142,USA,East Cambridge,(617) 869-3222,6,336000,1 Rogers St
Shabu Ya,57,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-6868,15,839000,57 Jfk St
Shack Foods,125,Cambridgepark Dr,Cambridge,MA,02140,USA,North Cambridge,(617) 520-9501,6,336000,125 Cambridgepark Dr
